,link,title,provider,n_subscribers,description
0,https://www.coursera.org/learn/user-experience-capstone,UX (User Experience) Capstone,University of Michigan,"6,854","In this UX capstone course, you’ll conduct a multi-stage user experience project to design a product from scratch. You will employ interviews, inspection methods, and user testing, along with ideation, design, and prototyping methods to gain and communicate valuable insight that can be used to deliver a compelling product."
1,https://www.coursera.org/learn/business-assessment,Accounting for Business Decision Making: Strategy Assessment and Control,University of Illinois at Urbana-Champaign,"11,767","Accounting information is the lifeblood of the organization, as it facilitates and influences operational and strategic decisions intended to achieve organizational goals. Organizations benefit from three decision-oriented roles of accounting: measurement, control, and communication."
2,https://www.coursera.org/learn/game-theory-2,Game Theory II: Advanced Applications,Stanford University,"35,721","Popularized by movies such as ""A Beautiful Mind"", game theory is the mathematical modeling of strategic interaction among rational (and irrational) agents.  Over four weeks of lectures, this advanced course considers how to design interactions between agents in order to achieve good social outcomes. Three main topics are covered:  social choice theory (i.e., collective decision making and voting systems), mechanism design, and auctions."
3,https://www.coursera.org/learn/quality-of-healthcare,Evaluating the Quality of Healthcare Delivery,Northeastern University,"2,065","In this course, you will have the opportunity to learn about the great progress that has been made in measuring and evaluating quality of care.  We will discuss key concepts and methods.  You will also learn about how to use websites for comparing the quality of healthcare providers.  The course content is intended for a wide range of participants – for example, people who have a general interest in quality of care, consumers seeking information about how to choose a provider for themselves or family members, or leaders of business organizations who are responsible for employee health insurance benefits and network of providers."
4,https://www.coursera.org/learn/security-operations-administration-sscp,Security Operations and Administration,(ISC)²,"2,841","Security operations and administration is the task of identifying an organization's information assets and the documentation needed for policy implementation, standards, procedures, and guidelines to ensure confidentiality, integrity, and availability. You will understand the process necessary for working with management and information owners, custodians, and users so that proper data classifications are defined. This will ensure the proper handling of all hard copy and electronic information."
5,https://www.coursera.org/learn/text-mining,Text Mining and Analytics,University of Illinois at Urbana-Champaign,"63,066","This course will cover the major techniques for mining and analyzing text data to discover interesting patterns, extract useful knowledge, and support decision making, with an emphasis on statistical approaches that can be generally applied to arbitrary text data in any natural language with no or minimum human effort."
6,https://www.coursera.org/learn/strategy-formulation,Strategy Formulation,Copenhagen Business School,"27,924","The purpose of this course is to present, analyze and discuss the different facets of business strategy formulation. Emphasizing that strategy can be seen as a unified theme that provides coherence and direction to the actions and decisions of a firm, we will cover a variety of business strategy topics concerned with firm positioning in the context of different markets, industries and locations."
7,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,Write A Feature Length Screenplay For Film Or Television,Michigan State University,"37,809",Write a Full Length Feature Film Script
8,https://www.coursera.org/learn/ux-design-fundamentals,UX Design Fundamentals,California Institute of the Arts,"71,642","This hands-on course examines how content is organized and structured to create an experience for a user, and what role the designer plays in creating and shaping user experience. You will be led through a condensed process that acts as a roadmap for developing robust UI/UX design: from ideation and sitemapping, to the creation of paper and digital prototypes. Building on the design skills learned in Visual Elements of User Interface Design, you will apply this methodology to produce a digital prototype for a multi-screen app of your own invention."
9,https://www.coursera.org/learn/roadmap-success-digital-manufacturing-design,Roadmap to Success in Digital Manufacturing & Design,University at Buffalo,"6,720","Learners will create a roadmap to achieve their own personal goals related to the digital manufacturing and design (DM&D) profession, which will help them leverage relevant opportunities. The culminating project provides a tangible element to include in their professional portfolios that showcases their knowledge of Industry 4.0."
10,https://www.coursera.org/learn/text-retrieval,Text Retrieval and Search Engines,University of Illinois at Urbana-Champaign,"49,608","Recent years have seen a dramatic growth of natural language text data, including web pages, news articles, scientific literature, emails, enterprise documents, and social media such as blog articles, forum posts, product reviews, and tweets. Text data are unique in that they are usually generated directly by humans rather than a computer system or sensors, and are thus especially valuable for discovering knowledge about people’s opinions and preferences, in addition to many other kinds of knowledge that we encode in text."
11,https://www.coursera.org/learn/evaluations-ai-applications-healthcare,Evaluations of AI Applications in Healthcare,Stanford University,"4,528","With artificial intelligence applications proliferating throughout the healthcare system, stakeholders are faced with both opportunities and challenges of these evolving technologies. This course explores the principles of AI deployment in healthcare and the framework used to evaluate downstream effects of AI healthcare solutions."
12,https://www.coursera.org/learn/budgeting-essentials-development,Budgeting essentials and development,Fundação Instituto de Administração,"10,885","The Budgeting Essentials and Development course focus on an integrative and practical view of concepts, methods, and techniques to develop a budget."
13,https://www.coursera.org/learn/strategy-implementation,Strategy Implementation,Copenhagen Business School,"23,231",Even a thoroughly developed business strategy may fail if you don't pay enough attention to its implementation. This rings particularly true with strategies based on innovation or implemented in complex or fast-changing environments.
14,https://www.coursera.org/learn/risk-governance-engage-the-board,Risk governance: Engage the board,Macquarie University,"5,887","All organisations must grapple with fundamental issues at the heart of governance: who are our stakeholders? What are their objectives? How can we ensure these objectives are met as effectively as possible? How can we ensure all legitimate stakeholders are treated fairly? Via structured learning activities (video lectures, quizzes, discussion prompts and written assessments) this course will teach you how to address these questions and how a sound governance structure and comprehensive risk management framework can support you and your organisation in achieving its objectives. You will consider contemporary ethical issues and devise practical responses to them, and finally, you’ll discover that your future ‘influencing’ challenge will be to encourage all members of your organisation to understand their role in serving your organisation’s stakeholders."
15,https://www.coursera.org/learn/ux-design-concept-wireframe,UX Design: From Concept to Prototype,University of Michigan,"18,737","Great design doesn’t come out of nowhere; it is born, nurtured, and grown--all through a systematic, learnable process. In this UX course, you will explore the process of taking a basic concept, grounded in user needs, and developing it into a design that will address those needs. In the course, you will gain hands-on experience with techniques such as sketching, scenario development, storyboarding, and wireframing that will help you transform your understanding of what your users need into a compelling user experience. You will then learn how to turn wireframes and interaction architecture into interactive prototypes that can be tested with prospective users and iteratively refined into a high quality design that that is ready for a hand-off to the development team for implementation."
16,https://www.coursera.org/learn/video-game-world,World Design for Video Games,California Institute of the Arts,"28,016","Start creating your world. A game world is not just a backdrop for your game—be it minimal or detailed, contained or part of a much bigger universe, it provides the context for your player. Ultimately, a game world should feel alive and wholly unique to any player who will experience it."
