title,description,link,provider,ranking,provider_category,time_required,subtitles,skill,rating,category,subcategory,level,subscribers
Access Controls,Welcome to Access Controls!,https://www.coursera.org/learn/access-control-sscp,(ISC)²,1500,Company,Approx. 15 hours to complete,Subtitles: English,,4.6stars,Information Technology,Security,Beginner Level,5966
Cryptography,Welcome to Cryptography!,https://www.coursera.org/learn/cryptography-sscp,(ISC)²,1500,Company,Approx. 14 hours to complete,Subtitles: English,,4.8stars,Information Technology,Security,Beginner Level,2884
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery","Risk Identification, Monitoring, and Analysis: In the Risk Identification, Monitoring, and Analysis session, you will learn how to identify, measure, and control losses associated with adverse events. You will review, analyze, select, and evaluate safeguards for mitigating risk.You will learn processes for collecting information, providing methods of identifying security events, assigning priority levels, taking the appropriate actions, and reporting the findings to the correct individuals. After collection of the details from monitoring, we can analyze to determine if the system is being operated in accordance with accepted industry practices, and in compliance with organization policies and procedures.",https://www.coursera.org/learn/incident-response-recovery-risks-sscp,(ISC)²,1500,Company,Approx. 23 hours to complete,Subtitles: English,,4.9stars,Information Technology,Security,Beginner Level,3611
Networks and Communications Security,Welcome to Networks and Communications Security Course!,https://www.coursera.org/learn/network-security-communications-sscp,(ISC)²,1500,Company,Approx. 20 hours to complete,Subtitles: English,,,Information Technology,Security,Beginner Level,3544
Security Awareness Training,The security of an organization is of the utmost importance and every member of the organization's staff plays a vital role in defending against cyber threats. One of the best ways to protect the organization is to institute a company-wide security-awareness training initiative.,https://www.coursera.org/learn/security-awareness-training,(ISC)²,1500,Company,Approx. 2 hours to complete,Subtitles: English,"['Data Security', 'Password', 'Network Security', 'Malware', 'Cybersecurity']",4.6stars,Information Technology,Security,Beginner Level,8779
Security Operations and Administration,"Security operations and administration is the task of identifying an organization's information assets and the documentation needed for policy implementation, standards, procedures, and guidelines to ensure confidentiality, integrity, and availability. You will understand the process necessary for working with management and information owners, custodians, and users so that proper data classifications are defined. This will ensure the proper handling of all hard copy and electronic information.",https://www.coursera.org/learn/security-operations-administration-sscp,(ISC)²,1500,Company,Approx. 16 hours to complete,Subtitles: English,,4.8stars,Information Technology,Security,Beginner Level,2841
Systems and Application Security,Welcome to Systems and Application Security Course!,https://www.coursera.org/learn/systems-application-security-sscp,(ISC)²,1500,Company,Approx. 17 hours to complete,Subtitles: English,,4.8stars,Information Technology,Security,Beginner Level,2135
Acing the Product Management Interview,"Sponsored by AMAZON WEB SERVICES (AWS). Apply your PM knowledge by answering real PM interview questions asked by Facebook, Microsoft, Google, and Amazon!",https://www.coursera.org/learn/acing-product-management-interviews,Advancing Women in Tech,1500,Company,Approx. 15 hours to complete,Subtitles: English,"['Estimation Interview', 'Data Analysis Interview', 'Strategy Interview', 'Behavioral Interview', 'Product Design Interview']",,Computer Science,Design and Product,Beginner Level,2644
The Art & Science of Product Management,"Sponsored by AMAZON WEB SERVICES (AWS). Learn how Amazon, Facebook, Google, and Twitch PMs and lead and collaborate with an interdisciplinary team of UX designers, software engineers, AI/ML engineers. Plus, practice real PM interview questions asked by Microsoft, Google, and Amazon!",https://www.coursera.org/learn/pms-leading-design-engineering-ai-ml,Advancing Women in Tech,1500,Company,Approx. 11 hours to complete,Subtitles: English,"['Lead Designers', 'Lead Engineers', 'Technical PM Interview', 'Technical Literacy', 'AI/ML']",,Computer Science,Design and Product,Beginner Level,2567
The Business of Product Management I,"Sponsored by AMAZON WEB SERVICES (AWS). Learn real-world PM lessons from Amazon, Intuit, Procter and Gamble, Barnes and Noble, Whole Foods, Google, Mint Mobile, Juicero, Twitter, Tesla, Dropbox, Eventbrite, Blue, Samson, Coffee Meets Bagel, Mixpanel, and more!",https://www.coursera.org/learn/the-business-of-product-management-one,Advancing Women in Tech,1500,Company,Approx. 15 hours to complete,Subtitles: English,"['Go-to-market Strategy', 'Product/Market Fit', 'Tech Leadership', 'B2B Sales', 'Product Management']",4.7stars,Business,Leadership and Management,Beginner Level,11475
