title,description,link,provider,ranking,provider_category,category,subcategory,level,hours_to_complete,num_subtitles,subscribers,log_subscribers
Understanding Research Methods,"This MOOC is about demystifying research and research methods. It will outline the fundamentals of doing research, aimed primarily, but not exclusively, at the postgraduate level. It places the student experience at the centre of our endeavours by engaging learners in a range of robust and challenging discussions and exercises befitting SOAS, University of London's status as a research-intensive university and its rich research heritage.",https://www.coursera.org/learn/research-methods,University of London,346,Other university,Physical Science and Engineering,Research Methods,Unknown Level,6,8,224629,12.32220543
Personal Leadership Development Planning and Leading High Performing Teams,"An actionable leadership improvement plan enables you to leverage strengths and close the gaps on weaknesses. In this course, you will build your own plan that you can put into practice immediately and realize goals within the next two years. It lays the foundation for an evergreen process of selection and prioritization of skills, and action planning for sustained leadership development.",https://www.coursera.org/learn/leadership-development-planning,Rice University,89,QS 100 University,Business,Leadership and Management,Beginner Level,22,1,9830,9.193194213
Introduction to Molecular Spectroscopy,"The course introduces the three key spectroscopic methods used by chemists and biochemists to analyse the molecular and electronic structure of atoms and molecules. These are UV/Visible , Infra-red (IR) and Nuclear Magnetic Resonance (NMR) spectroscopies. The content is presented using short focussed and interactive screencast presentations accompanied by formative quizzes to probe understanding of the key concepts presented. Numerous exercises are provided to facilitate mastery of each topic. A unique virtual spectroscopic laboratory is made available to enable students to measure and analyse spectra online. Assessment is via summative quizzes completed during the course period.",https://www.coursera.org/learn/spectroscopy,University of Manchester,27,QS 100 University,Physical Science and Engineering,Chemistry,Intermediate Level,11,1,39782,10.59116983
Improving Your Statistical Questions,"This course aims to help you to ask better statistical questions when performing empirical research. We will discuss how to design informative studies, both when your predictions are correct, as when your predictions are wrong. We will question norms, and reflect on how we can improve research practices to ask more interesting questions. In practical hands on assignments you will learn techniques and tools that can be immediately implemented in your own research, such as thinking about the smallest effect size you are interested in, justifying your sample size, evaluate findings in the literature while keeping publication bias into account, performing a meta-analysis, and making your analyses computationally reproducible.",https://www.coursera.org/learn/improving-statistical-questions,Eindhoven University of Technology,120,Other university,Data Science,Probability and Statistics,Intermediate Level,18,1,5653,8.639941657
How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),Do you want to gain a competitive edge on the job market?,https://www.coursera.org/learn/skills-management,The State University of New York,373,Other university,Personal Development,Personal Development,Intermediate Level,9,5,49425,10.80821165
"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity","You will be able to gain and apply your knowledge and understanding of personal and professional awareness, organization and commitment, and use the tools, methods and techniques that you have learned in goal setting, prioritization, scheduling, and delegation to overcome time management challenges and enhance productivity.",https://www.coursera.org/learn/work-smarter-not-harder,"University of California, Irvine",210,Other university,Business,Business Essentials,Unknown Level,5,15,401007,12.90173416
Lesson | Get Ready for the Interview,"This lesson is part of a full course, Speak English Professionally: In Person, Online & On the Phone. Take this lesson to get a short tutorial on the learning objectives covered. To dive deeper into this topic, take the full course.",https://www.coursera.org/learn/lesson-get-ready-for-the-interview,Georgia Institute of Technology,80,QS 100 University,Language Learning,Learning English,Unknown Level,1,13,18795,9.841346156
Sustainable Fashion,"Sometimes when we say we work with sustainable fashion people look at us like... ""Mmmm, is it really possible for something like fashion to be sustainable?"" And let's face it, people are right being suspicious. If anything the fashion industry has become increasingly unsustainable over the last decades, using more and more natural resources and creating more and more waste.",https://www.coursera.org/learn/sustainable-fashion,Copenhagen Business School,15,Other university,Business,Business Strategy,Beginner Level,5,2,39278,10.57841984
Wood Science: Beyond Building,"The central question of this course: ?Ä?????why study wood??Ä????? If ?Ä?????why study wood?Ä????? is the question, one answer would be that it is the only raw material available to us that is truly renewable in human life span terms. Wood is as important to society today as it ever was, despite the development of many man-made substitute materials, changing resource availability, and the changing needs of society.  Some items on the list of wood products stay the same (lumber, plywood and veneer for building construction, furniture, shipping pallets & crates and other containers & packaging materials, railroad ties, utility poles, chemical feed stocks, etc), but the list also keeps changing to meet new needs and challenges as the resource changes.",https://www.coursera.org/learn/wood-science,West Virginia University,1500,Other university,Physical Science and Engineering,Environmental Science and Sustainability,Beginner Level,10,1,15248,9.632203626
Introduction to Social Media Marketing,"This course lays the foundation of social media marketing. You?Ä?????ll learn what social media marketing entails, including the history and the different social media channels that exist. You?Ä?????ll learn how to select a social media channel that fits your needs, set goals and success metrics, and determine who your target audience is.",https://www.coursera.org/learn/social-media-marketing-introduction,Facebook,86,Company,Business,Marketing,Beginner Level,13,1,142285,11.86558737
Lesson | Telephone Language,"This lesson is part of a full course, Speak English Professionally: In Person, Online & On the Phone. Take this lesson to get a short tutorial on the learning objectives covered. To dive deeper into this topic, take the full course.",https://www.coursera.org/learn/lesson-telephone-language,Georgia Institute of Technology,80,QS 100 University,Language Learning,Learning English,Unknown Level,1,15,10812,9.288411907
Organizational Analysis,"In this introductory, self-paced course, you will learn multiple theories of organizational behavior and apply them to actual cases of organizational change.",https://www.coursera.org/learn/organizational-analysis,Stanford University,2,QS 100 University,Business,Leadership and Management,Beginner Level,25,5,97986,11.49257989
FinTech Law and Policy,"Being a successful FinTech firm requires more than just great technology; it also requires an understanding of the laws and regulations applicable to your business. This course will provide you with that understanding. You will learn about the critical legal, regulatory, and policy issues associated with cryptocurrencies, initial coin offerings, online lending, new payments and wealth management technologies, and financial account aggregators.  In addition, you will learn how regulatory agencies in the U.S. are continually adjusting to the emergence of new financial technologies and how one specific agency has proposed a path for FinTech firms to become regulated banks. You will also learn the basics of how banks are regulated in the U.S.",https://www.coursera.org/learn/fintechlawandpolicy,Duke University,42,QS 100 University,Business,Finance,Beginner Level,11,1,21934,9.995793223
Developing the Opportunity for Corporate Entrepreneurs,"For an increasing number of established companies, creating new businesses and programs within the company is an imperative for success. Maturing technologies and aging product portfolios are requiring established companies to create, develop, and sustain innovative new initiatives.",https://www.coursera.org/learn/corporate-entrepreneurs-opportunity,"University of Maryland, College Park",152,Other university,Business,Entrepreneurship,Beginner Level,23,5,9678,9.177610547
Electronic Music Performance Techniques,"From the Moog analog synthesizers in the 1960s to the contemporary usage of computers, performance controllers, and mobile devices, Electronic Digital Instruments (EDIs) have long been capable of offering artists a new range of musical expression. In this one-of-a-kind course, you'll learn the essential skills you need to perform on an EDI.",https://www.coursera.org/learn/edi-performance-techniques,Berklee College of Music,2,Other university,Arts and Humanities,Music and Art,Intermediate Level,7,1,4735,8.462737006
"Anatomy: Cardiovascular, Respiratory and Urinary Systems","In this anatomy course, part of the Anatomy Specialization, you will explore the interactive relationships of the cardiovascular, respiratory and urinary systems, and the roles they play in your body.",https://www.coursera.org/learn/anatomy403-2x,University of Michigan,21,QS 100 University,Health,Basic Science,Beginner Level,18,5,25266,10.1372149
Computational Social Science Methods,"This course gives you an overview of the current opportunities and the omnipresent reach of computational social science. The results are all around us, every day, reaching from the services provided by the world?Ä?????s most valuable companies, over the hidden influence of governmental agencies, to the power of social and political movements. All of them study human behavior in order to shape it. In short, all of them do social science by computational means.",https://www.coursera.org/learn/computational-social-science-methods,"University of California, Davis",112,Other university,Data Science,Data Analysis,Beginner Level,11,1,8508,9.048762176
Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,"A challenging but fascinating topic on the way to achieving self-knowledge is the unconscious. For well over a century, psychologists, philosophers, and many others have posited a level of mentality that is not immediately open to introspection; some would even say that certain unconscious elements cannot be known through introspection. This course will examine some of the most influential ideas about the unconscious starting with the work of Sigmund Freud, and follow the development of theories of the unconscious all the way to present research in experimental psychology. But be warned: some of the things you may learn about your unconscious mind may be surprising, and possibly even disturbing!",https://www.coursera.org/learn/know-thyself-the-unconscious,The University of Edinburgh,20,QS 100 University,Arts and Humanities,Philosophy,Intermediate Level,15,1,43354,10.67715425
